src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax
DEL,RPR,Delhi,Raipur,944.8,78,0.72,56,3000.0,400.0,190400.0,2210.83,91424.4181053043,250000.0,341424.4181053043,-151024.4181053043,-2696.864609023291
DEL,SXR,Delhi,Srinagar,642.0,78,0.72,56,3000.0,400.0,190400.0,1502.28,62123.76113551768,250000.0,312123.7611355177,-121723.76113551768,-2173.6385917056728
DEL,VNS,Delhi,Varanasi,667.0,78,0.72,56,3000.0,400.0,190400.0,1560.78,64542.91071244593,250000.0,314542.9107124459,-124142.91071244591,-2216.837691293677
DIB,CCU,Mohanbari,Kolkata,851.9,78,0.72,56,3000.0,400.0,190400.0,1993.45,82435.10639534422,250000.0,332435.10639534425,-142035.10639534425,-2536.3411856311473
DIB,GAU,Mohanbari,Guwahati,373.4,78,0.72,56,3000.0,400.0,190400.0,873.76,36132.58349293735,250000.0,286132.5834929374,-95732.58349293738,-1709.510419516739
GAU,BLR,Guwahati,Bangalore,2039.4,78,0.72,56,3000.0,400.0,190400.0,4772.2,197344.7112994365,250000.0,447344.7112994365,-256944.71129943652,-4588.298416061366
GAU,BOM,Guwahati,Mumbai,2071.1,78,0.72,56,3000.0,400.0,190400.0,4846.37,200411.86213910775,250000.0,450411.8621391078,-260011.86213910778,-4643.068966769782
GAU,CCU,Guwahati,Kolkata,498.3,78,0.72,56,3000.0,400.0,190400.0,1166.02,48218.4066613656,250000.0,298218.4066613656,-107818.40666136559,-1925.3286903815283
GAU,DEL,Guwahati,Delhi,1455.5,78,0.72,56,3000.0,400.0,190400.0,3405.87,140842.8883687632,250000.0,390842.8883687632,-200442.8883687632,-3579.337292299343
GAU,IMF,Guwahati,Imphal,276.1,78,0.72,56,3000.0,400.0,190400.0,646.07,26716.922515658804,250000.0,276716.9225156588,-86316.92251565878,-1541.3736163510496
GAU,IXA,Guwahati,Agartala,249.2,78,0.72,56,3000.0,400.0,190400.0,583.13,24114.165688789322,250000.0,274114.16568878933,-83714.16568878933,-1494.895815871238
GAU,IXB,Guwahati,Baghdogra,330.7,78,0.72,56,3000.0,400.0,190400.0,773.84,32000.593309575448,250000.0,282000.59330957546,-91600.59330957546,-1635.724880528133
GOI,AMD,Goa,Ahmedabad,865.0,78,0.72,56,3000.0,400.0,190400.0,2024.1,83702.57536171774,250000.0,333702.5753617177,-143302.57536171773,-2558.9745600306737
GOI,BLR,Goa,Bangalore,482.9,78,0.72,56,3000.0,400.0,190400.0,1129.99,46728.45863988312,250000.0,296728.45863988315,-106328.45863988315,-1898.722475712199
GOI,BOM,Goa,Mumbai,424.8,78,0.72,56,3000.0,400.0,190400.0,994.03,41106.106905196524,250000.0,291106.1069051965,-100706.1069051965,-1798.3233375927946
GOI,DEL,Goa,Delhi,1504.2,78,0.72,56,3000.0,400.0,190400.0,3519.83,145555.4744505879,250000.0,395555.4744505879,-205155.47445058788,-3663.490615189069
IDR,BOM,Indore,Mumbai,506.0,78,0.72,56,3000.0,400.0,190400.0,1184.04,48963.58743702795,250000.0,298963.58743702795,-108563.58743702795,-1938.6354899469277
IDR,DEL,Indore,Delhi,662.9,78,0.72,56,3000.0,400.0,190400.0,1551.19,64146.33559376659,250000.0,314146.3355937666,-123746.33559376659,-2209.755992745832
IDR,NAG,Indore,Nagpur,380.7,78,0.72,56,3000.0,400.0,190400.0,890.84,36838.89246343196,250000.0,286838.892463432,-96438.89246343198,-1722.1230797041426
IDR,RPR,Indore,Raipur,635.8,78,0.72,56,3000.0,400.0,190400.0,1487.77,61523.72933447103,250000.0,311523.72933447105,-121123.72933447105,-2162.9237381155544
IMF,CCU,Imphal,Kolkata,602.2,78,0.72,56,3000.0,400.0,190400.0,1409.15,58272.55771501634,250000.0,308272.55771501636,-117872.55771501636,-2104.8671020538636
IMF,GAU,Imphal,Guwahati,276.1,78,0.72,56,3000.0,400.0,190400.0,646.07,26716.922515658804,250000.0,276716.9225156588,-86316.92251565878,-1541.3736163510496
IMF,IXA,Imphal,Agartala,286.1,78,0.72,56,3000.0,400.0,190400.0,669.47,27684.582346430107,250000.0,277684.5823464301,-87284.5823464301,-1558.6532561862518
IXA,CCU,Agartala,Kolkata,316.6,78,0.72,56,3000.0,400.0,190400.0,740.84,30635.944830282584,250000.0,280635.9448302826,-90235.94483028259,-1611.3561576836178
IXA,GAU,Agartala,Guwahati,249.2,78,0.72,56,3000.0,400.0,190400.0,583.13,24114.165688789322,250000.0,274114.16568878933,-83714.16568878933,-1494.895815871238
IXA,IMF,Agartala,Imphal,286.1,78,0.72,56,3000.0,400.0,190400.0,669.47,27684.582346430107,250000.0,277684.5823464301,-87284.5823464301,-1558.6532561862518
IXB,CCU,Baghdogra,Kolkata,447.9,78,0.72,56,3000.0,400.0,190400.0,1048.09,43341.64923218356,250000.0,293341.6492321836,-102941.64923218358,-1838.2437362889925
IXB,DEL,Baghdogra,Delhi,1125.2,78,0.72,56,3000.0,400.0,190400.0,2632.97,108881.16686435549,250000.0,358881.1668643555,-168481.1668643555,-3008.5922654349197
IXB,GAU,Baghdogra,Guwahati,330.7,78,0.72,56,3000.0,400.0,190400.0,773.84,32000.593309575448,250000.0,282000.59330957546,-91600.59330957546,-1635.724880528133
IXC,BOM,Chandigarh,Mumbai,1347.2,78,0.72,56,3000.0,400.0,190400.0,3152.45,130363.21510747843,250000.0,380363.21510747843,-189963.21510747843,-3392.2002697764005
IXJ,DEL,Jammu,Delhi,507.0,78,0.72,56,3000.0,400.0,190400.0,1186.38,49060.353420105086,250000.0,299060.35342010506,-108660.35342010506,-1940.3634539304476
IXJ,SXR,Jammu,Srinagar,144.5,78,0.72,56,3000.0,400.0,190400.0,338.13,13982.684554645333,250000.0,263982.6845546453,-73582.68455464533,-1313.976509904381
IXR,BOM,Ranchi,Mumbai,1373.2,78,0.72,56,3000.0,400.0,190400.0,3213.29,132879.1306674838,250000.0,382879.1306674838,-192479.13066748378,-3437.127333347925
IXR,CCU,Ranchi,Kolkata,328.2,78,0.72,56,3000.0,400.0,190400.0,767.99,31758.67835188262,250000.0,281758.6783518826,-91358.67835188261,-1631.4049705693324
IXR,DEL,Ranchi,Delhi,1007.7,78,0.72,56,3000.0,400.0,190400.0,2358.02,97511.16385279268,250000.0,347511.1638527927,-157111.1638527927,-2805.556497371298
IXR,PAT,Ranchi,Patina,254.3,78,0.72,56,3000.0,400.0,190400.0,595.06,24607.5067905458,250000.0,274607.5067905458,-84207.50679054583,-1503.705478402604
JAI,AMD,Jaipur,Ahmedabad,525.5,78,0.72,56,3000.0,400.0,190400.0,1229.67,50850.524107032,250000.0,300850.524107032,-110450.52410703199,-1972.3307876255712
JAI,BLR,Jaipur,Bangalore,1528.0,78,0.72,56,3000.0,400.0,190400.0,3575.52,147858.42214185515,250000.0,397858.4221418551,-207458.42214185512,-3704.6146811045555
JAI,BOM,Jaipur,Mumbai,911.3,78,0.72,56,3000.0,400.0,190400.0,2132.44,88182.75767222044,250000.0,338182.75767222047,-147782.75767222047,-2638.9778155753656
JAI,CCU,Jaipur,Kolkata,1356.7,78,0.72,56,3000.0,400.0,190400.0,3174.68,131282.49194671118,250000.0,381282.4919467112,-190882.4919467112,-3408.6159276198428
LKO,BLR,Lucknow,Bangalore,1544.1,78,0.72,56,3000.0,400.0,190400.0,3613.19,149416.18905746008,250000.0,399416.18905746005,-209016.18905746005,-3732.4319474546437
LKO,BOM,Lucknow,Mumbai,1183.6,78,0.72,56,3000.0,400.0,190400.0,2769.62,114532.05215815458,250000.0,364532.05215815455,-174132.05215815455,-3109.500931395617
LKO,DEL,Lucknow,Delhi,423.5,78,0.72,56,3000.0,400.0,190400.0,990.99,40980.3938331647,250000.0,290980.3938331647,-100580.39383316471,-1796.0784613065127
LKO,PAT,Lucknow,Patina,438.7,78,0.72,56,3000.0,400.0,190400.0,1026.56,42451.31948190552,250000.0,292451.31948190555,-102051.31948190555,-1822.3449907483134
MAA,AMD,Madras,Ahmedabad,1375.0,78,0.72,56,3000.0,400.0,190400.0,3217.5,133053.22673105422,250000.0,383053.22673105425,-192653.22673105425,-3440.236191625969
MAA,BLR,Madras,Bangalore,267.8,78,0.72,56,3000.0,400.0,190400.0,626.65,25913.847562087063,250000.0,275913.84756208706,-85513.84756208706,-1527.032992180126
MAA,BOM,Madras,Mumbai,1033.4,78,0.72,56,3000.0,400.0,190400.0,2418.16,99998.13232384337,250000.0,349998.13232384337,-159598.13232384337,-2849.96664864006
MAA,CCU,Madras,Kolkata,1385.7,78,0.72,56,3000.0,400.0,190400.0,3242.54,134088.70545594796,250000.0,384088.70545594796,-193688.70545594796,-3458.726883141928
MAA,CJB,Madras,Coimbatore,403.8,78,0.72,56,3000.0,400.0,190400.0,944.89,39074.02126057679,250000.0,289074.0212605768,-98674.02126057679,-1762.0360939388713
MAA,COK,Madras,Kochi,517.7,78,0.72,56,3000.0,400.0,190400.0,1211.42,50095.83214499882,250000.0,300095.8321449988,-109695.83214499883,-1958.8541454464078
MAA,DEL,Madras,Delhi,1760.9,78,0.72,56,3000.0,400.0,190400.0,4120.51,170395.38501245572,250000.0,420395.38501245575,-229995.38501245575,-4107.060446650996
